word,frequency
para,5185
del,3023
su,2152
puedes,1825
puede,1784
tu,1724
puedo,1393
información,1355
ser,1241
si,1202
embargo,1112
te,1096
siento,1085
hay,1052
sí,1008
pueden,839
son,817
tengo,808
respuesta,714
posible,701
proporcionar,700
tus,695
importante,690
buscar,637
personas,630
encontrar,601
ayudarte,566
algo,559
parece,555
web,533
esto,502
obtener,493
ha,459
debido,452
estás,437
pregunta,415
aunque,409
persona,401
línea,398
vida,388
1,385
pueda,379
algunos,378
está,372
fue,371
donde,369
relación,368
sitios,366
algunas,365
utilizar,364
